,artist_name,track_name,track_id,popularity,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,beat_duration,tatum_duration
1834,BTS,Tomorrow,0JkTVcN5kilfMztDb3bKZk,62,K-Pop,2014,0.399,0.887,1,-2.578,0,0.201,0.00946,0.0,0.281,0.627,128.119,261575,4,1.5909903726708075,0.20058344236760126
1835,BTS,Intro: Boy Meets Evil,1hlT8F0X27uf3fpOWawjbY,62,K-Pop,2016,0.573,0.89,5,-3.53,0,0.214,0.0212,0.0,0.132,0.242,130.251,121771,4,1.8278232307692308,0.2305600572519084
1836,BLACKPINK,See U Later,2REoTZjaB3jyAt5dgkV5GK,61,K-Pop,2018,0.74,0.926,9,-3.965,0,0.112,0.0376,0.0,0.582,0.571,106.987,198867,4,2.229846551724138,0.2803461206896552
1837,DAY6,예뻤어 You Were Beautiful,71WZ7yFuwxmQz5jJUpvkGv,65,K-Pop,2017,0.458,0.617,5,-3.464,0,0.0331,0.0649,0.0,0.109,0.418,167.925,283160,4,1.4250080203045685,0.1786591814720812
1838,4Minute,Crazy,5DZdCgnX9xAj59X6X7cQBs,63,K-Pop,2015,0.54,0.929,7,-2.646,1,0.279,0.00584,4.11e-06,0.424,0.621,176.019,192400,4,1.3467526618705037,0.17050961956521737
1839,ATEEZ,THANXX,0YXpDiXEQlRmVSAFcub7sE,61,K-Pop,2020,0.604,0.961,4,-1.692,0,0.165,0.0395,0.0,0.242,0.645,164.847,181147,4,1.4369762601626015,0.18188006134969326
1840,ENHYPEN,Just A Little Bit,3QdjLOemIcMZovVOnvJP7P,65,K-Pop,2021,0.441,0.59,0,-5.615,1,0.0514,0.242,0.0,0.349,0.411,84.633,167821,4,2.8511903508771925,0.35969868421052636
1841,TAEYONG,Love Theory,1dmi9lVthTKjuemmO8ucWm,65,K-Pop,2022,0.878,0.71,10,-5.127,1,0.0473,0.367,0.0,0.099,0.888,119.991,199920,4,1.96942193877551,0.2500241237113402
1842,Dreamcatcher,Starlight,5i5WNh302rkoveunUdZwG2,60,K-Pop,2022,0.548,0.898,6,-3.945,0,0.0484,0.00244,0.0,0.165,0.346,149.97,199093,4,1.6001503305785123,0.20001979423868313
1843,EXO,Growl,4pi0Elz7B7cLfw37J3bYm9,63,K-Pop,2013,0.681,0.814,11,-2.83,0,0.0603,0.145,0.0,0.556,0.876,89.993,207053,4,2.684095789473684,0.3333460714285714
1844,IU,strawberry moon,2g0LdZQce9xlcHb1mBJyuz,65,K-Pop,2021,0.475,0.712,6,-3.306,1,0.0431,0.138,0.0,0.0936,0.443,169.796,205333,4,1.4116455244755246,0.1770727526132404
1845,(G)I-DLE,LION,40OyiVO9NtBg9R2Gpwxs3u,64,K-Pop,2020,0.741,0.715,4,-5.206,0,0.034,0.0318,0.0,0.121,0.187,109.989,210973,4,2.169763578947368,0.27258741514360313
1846,(G)I-DLE,ALREADY,1hQtfLmNABXQMSjjYRXqAX,62,K-Pop,2022,0.663,0.762,2,-4.568,0,0.174,0.571,7.84e-06,0.161,0.662,91.832,201547,4,2.6145962666666667,0.3281826315789474
1847,Stray Kids,Silent Cry,5kBJH5gU89axZDauhfddpy,65,K-Pop,2021,0.69,0.876,5,-2.503,0,0.091,0.139,0.0,0.281,0.592,104.0,209507,4,2.321029204545454,0.2884927653631285
1848,D.O.,I'm Gonna Love You,1jxGBe4s8FwL2ZeNWszVuu,67,K-Pop,2021,0.519,0.445,0,-5.452,0,0.206,0.434,0.0,0.258,0.505,200.021,151733,4,1.1842681599999996,0.15014555555555553
